"ProductID";"CategoryID";"Name";"Price";"Description";"DateAdded"
1;1;"Wireless Noise-Canceling Headphones";199.99;"Over-ear Bluetooth headphones with ANC.";"2026-05-30 12:29:23"
2;1;"Mechanical Gaming Keyboard";89.5;"RGB backlit tactile mechanical keyboard.";"2026-05-30 12:29:23"
3;1;"UltraWide Gaming Monitor";349.99;"34-inch curved panoramic display.";"2026-05-30 12:29:23"
4;1;"4K Webcam";79.99;"USB-C 4K webcam with auto-focus and mic.";"2026-05-30 12:29:23"
5;2;"Classic Denim Jacket";65.0;"Unisex vintage blue jean jacket.";"2026-05-30 12:29:23"
6;2;"Running Shoes";120.0;"Lightweight breathable athletic shoes.";"2026-05-30 12:29:23"
7;2;"Waterproof Windbreaker";85.0;"All-weather lightweight shell outerwear.";"2026-05-30 12:29:23"
8;2;"Merino Wool Beanie";22.5;"Soft itch-free winter knit hat.";"2026-05-30 12:29:23"
9;3;"Stainless Steel Cookware Set";145.0;"10-piece non-stick pots and pans.";"2026-05-30 12:29:23"
10;3;"Ergonomic Desk Chair";180.0;"Mesh high-back chair with lumbar support.";"2026-05-30 12:29:23"
11;3;"Cast Iron Skillet";39.99;"Pre-seasoned heavy duty skillet.";"2026-05-30 12:29:23"
12;3;"Bamboo Cutting Board Set";28.0;"Three-piece food-safe bamboo boards.";"2026-05-30 12:29:23"
13;4;"Introduction to SQL and Databases";29.99;"Comprehensive guide to relational design.";"2026-05-30 12:29:23"
14;4;"Mastering Python Data Science";45.0;"Advanced data analysis with Python.";"2026-05-30 12:29:23"
15;4;"The History of Computing";19.95;"Chronology of hardware evolution.";"2026-05-30 12:29:23"
16;4;"Clean Code";34.99;"A handbook of agile software craftsmanship.";"2026-05-30 12:29:23"
17;5;"Water-Resistant Camping Tent";115.0;"4-person dome tent for hiking.";"2026-05-30 12:29:23"
18;5;"Adjustable Dumbbell Pair";249.99;"All-in-one steel weight training setup.";"2026-05-30 12:29:23"
19;5;"Insulated Water Bottle";24.5;"Vacuum sealed stainless steel flask.";"2026-05-30 12:29:23"
20;5;"Yoga Mat Pro";42.0;"Non-slip extra-thick exercise mat.";"2026-05-30 12:29:23"
21;6;"Hydrating Face Serum";34.0;"Organic hyaluronic acid skin treatment.";"2026-05-30 12:29:23"
22;6;"Mineral Sunscreen SPF 50";18.5;"Non-greasy broad spectrum shield.";"2026-05-30 12:29:23"
23;6;"Electric Sonic Toothbrush";65.0;"Rechargeable dynamic cleaning system.";"2026-05-30 12:29:23"
24;6;"Argan Oil Hair Mask";26.99;"Deep-conditioning overnight treatment.";"2026-05-30 12:29:23"
25;7;"Digital Tire Pressure Gauge";14.99;"Backlit LCD high-precision car gauge.";"2026-05-30 12:29:23"
26;7;"Portable Car Jump Starter";79.99;"12V lithium emergency battery pack.";"2026-05-30 12:29:23"
27;7;"Heavy Duty Car Floor Mats";45.0;"All-weather deep channel rubber mats.";"2026-05-30 12:29:23"
28;7;"Dash Cam 1080p";59.99;"Loop recording front dash camera.";"2026-05-30 12:29:23"
29;8;"Strategy Board Game";45.0;"Immersive tabletop world-building engine.";"2026-05-30 12:29:23"
30;8;"1000-Piece Nature Puzzle";16.99;"High-definition printed cardboard puzzle.";"2026-05-30 12:29:23"
31;8;"Remote Control Quadcopter Drone";129.0;"1080p camera stabilized entry drone.";"2026-05-30 12:29:23"
32;8;"Magnetic Building Blocks";38.5;"60-piece STEM magnetic tile set.";"2026-05-30 12:29:23"
33;9;"Organic Whole Bean Coffee";14.99;"Dark roast single-origin arabica beans.";"2026-05-30 12:29:23"
34;9;"Premium Matcha Green Tea Powder";22.0;"Ceremonial grade pure stone-ground matcha.";"2026-05-30 12:29:23"
35;9;"Artisanal Hot Sauce Pack";28.5;"Trio of small-batch habanero blends.";"2026-05-30 12:29:23"
36;9;"Raw Wildflower Honey Jar";13.5;"Unfiltered cold-pressed local honey.";"2026-05-30 12:29:23"
37;10;"Leather Bound Notebook";12.5;"A5 dot-grid journal for design plotting.";"2026-05-30 12:29:23"
38;10;"Dual-Tip Calligraphy Markers";21.0;"24-color flexible brush journaling set.";"2026-05-30 12:29:23"
39;10;"Minimalist Metal Desk Organizer";32.0;"Powder-coated steel modular sorting dock.";"2026-05-30 12:29:23"
40;10;"Wireless Charging Mouse Pad";44.99;"XL fast-charge Qi surface with stitched edge.";"2026-05-30 12:29:23"
