"ReviewID";"UserID";"ProductID";"Rating";"Comment";"ReviewDate"
1;38;2;3;"Absolutely love this product, exceeded expectations!";"2026-02-20 16:56:35"
2;14;5;3;"Great value for money, would recommend to a friend.";"2026-02-03 00:44:51"
3;49;11;1;"Decent quality but delivery was slow.";"2026-04-17 05:25:13"
4;12;22;5;"Does exactly what it says on the tin.";"2026-04-30 03:47:30"
5;62;2;4;"Broke after two weeks, very disappointed.";"2026-05-07 22:09:38"
6;22;39;4;"Incredible build quality. Will buy again.";"2026-01-31 12:09:24"
7;7;7;3;"A solid purchase for the price range.";"2026-02-09 21:56:04"
8;25;27;5;"Not quite what I expected from the description.";"2026-05-21 04:56:29"
9;94;35;3;"Perfect gift, arrived beautifully packaged.";"2026-05-09 06:36:33"
10;37;20;2;"Works flawlessly, no complaints whatsoever.";"2026-01-19 15:00:02"
11;7;26;5;"Feels a bit cheap but functions correctly.";"2026-04-17 17:36:48"
12;63;10;1;"Surprisingly good for the low price.";"2026-03-12 01:35:04"
13;1;28;1;"Very comfortable and well made.";"2026-02-27 04:41:59"
14;85;39;4;"Instructions were unclear but product is fine.";"2026-02-08 18:33:07"
15;13;2;2;"Five stars without hesitation.";"2026-02-03 04:08:08"
16;82;19;1;"Had minor issues but support resolved them quickly.";"2026-04-02 22:59:57"
17;15;20;4;"Exactly as pictured and described online.";"2026-04-02 10:45:36"
18;63;17;1;"My whole family loves it.";"2026-05-05 15:18:50"
19;70;25;2;"Came with a minor defect, but overall satisfied.";"2026-03-14 01:04:51"
20;49;24;2;"Top notch quality. Premium feel in hand.";"2026-03-28 13:27:48"
21;6;17;4;"Would not recommend to a picky buyer.";"2026-04-01 07:19:37"
22;34;15;3;"Great customer experience from start to finish.";"2026-04-20 13:34:46"
23;8;10;1;"Bit pricey but worth every cent.";"2026-01-17 15:25:30"
24;86;23;5;"Average product, nothing special.";"2026-03-22 09:19:03"
25;97;38;2;"Replaced my old one and this is miles better.";"2026-04-18 11:58:18"
26;8;25;5;"Perfect size and color. Love the design.";"2026-03-23 06:58:00"
27;69;31;5;"Disappointed with packaging but product is fine.";"2026-02-15 18:10:17"
28;61;20;1;"Highly functional and easy to use.";"2026-03-18 15:55:18"
29;92;3;5;"Better than the reviews suggested!";"2026-04-21 22:04:40"
30;67;37;5;"Good overall, minor room for improvement.";"2026-01-29 15:09:21"
